trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,month,day,day_of_week,hour_of_day,trip_duration
15.7,2,45,0,0.5,0,0,0.3,45.8,132,146,10,20,5,16,3967.000000000001
7.3,1,25.5,0,0.5,7.89,0,0.3,34.19,186,69,2,24,5,15,1491
14.87,1,40.5,0.5,0.5,8.36,0,0.3,50.16,138,89,9,11,1,22,1395
2.9,2,22,0,0.5,0,0,0.3,22.8,90,162,6,7,3,11,1742
8.96,1,32,0,0.5,0,5.76,0.3,38.56,138,186,4,20,4,10,1623
4.56,1,22.5,1,0.5,7.05,0,0.3,31.35,163,261,2,7,2,19,2273
14.8,1,42,0,0.5,8.56,0,0.3,51.36,132,29,12,10,0,8,1443
8.6,1,26,0,0.5,6.51,5.76,0.3,39.07,233,138,11,30,4,15,2528
17.53,1,68,0,0,20.2,12.5,0.3,101,234,1,2,16,4,6,1052
7.26,1,23.5,0,0.5,4.86,0,0.3,29.16,138,233,11,18,6,12,1808
7.56,1,29.5,0,0.5,7.21,5.76,0.3,43.27,88,145,3,27,1,10,2641
18.6,1,68.5,0.5,0,20.95,14.5,0.3,104.75,163,1,11,5,0,4,1655
15.7,1,48,1,0.5,0,0,0.3,49.8,132,89,5,8,1,17,2497
7.5,1,23.5,0.5,0.5,6.1,5.76,0.3,36.66,170,7,3,5,0,21,1870
4.4,1,22,0,0.5,4.56,0,0.3,27.36,151,161,6,6,2,12,3410
0.04,1,48,0,0.5,9.7,0,0,58.2,264,262,3,28,2,15,1171
6.12,1,21.5,1,0.5,2.7,0,0.3,26,231,140,6,5,1,19,1481
15.38,1,45,0.5,0.5,7,0,0.3,53.3,138,143,11,16,4,21,1837
9.7,1,34.5,0,0.5,12.3,5.76,0.3,53.36,48,138,11,28,2,10,1823
4.4,1,29.5,0,0.5,2.5,0,0.3,32.8,144,162,5,26,5,13,1625
11.2,1,45.5,0,0.5,11.55,0,0.3,57.85,138,249,5,3,3,14,2985
18,1,48.5,0.5,0.5,8,0,0.3,57.8,132,11,5,1,1,20,2139
3.6,1,28.5,0,0.5,5.86,0,0.3,35.16,144,230,7,27,4,13,927
0.2,1,3,0,0.5,0.75,0,0.3,4.55,236,236,4,4,2,7,4120
3.9,1,23.5,0,0.5,6.01,5.76,0.3,36.07,186,146,2,7,2,9,1888
11.26,2,36.5,0.5,0.5,0,0,0.3,37.8,48,257,3,18,6,22,2050
6.57,1,21.5,0,0.5,5.58,0,0.3,27.88,233,231,11,29,3,12,1534
8.6,1,27.5,0,0.5,6.8,5.76,0.3,40.86,138,233,2,9,4,10,4689
9.53,1,28.5,0,0.5,7.01,5.76,0.3,42.07,239,138,3,8,3,6,1398
13.4,1,40.5,0.5,0.5,12.5,0,0.3,54.3,138,225,6,3,6,20,1712
13.24,1,39,1,0.5,9.31,5.76,0.3,55.87,138,209,6,25,0,18,1041
10.08,1,38,1,0.5,11.39,5.76,0.3,56.95,138,249,3,27,1,17,1634
10.24,1,39,0,0.5,9.11,5.76,0.3,54.67,230,138,9,24,0,14,2879
7.61,1,23,0.5,0.5,5.39,2.64,0.3,32.33,166,200,12,20,3,22,1840
3.9,2,26,0,0.5,0,0,0.3,26.8,238,164,11,8,3,11,2235
15.34,1,42,0.5,0.5,8.66,0,0.3,51.96,138,89,5,2,2,23,2110
24.39,1,65.5,0.5,0.5,13.36,0,0.3,80.16,132,227,10,5,4,21,77
4.68,1,23.5,0,0.5,4.86,0,0.3,29.16,161,13,2,6,1,13,1805
8.9,1,29,0.5,0.5,2.8,0,0.3,33.1,113,166,3,17,5,0,2367
8.3,1,25,0,0.5,6.3,5.76,0.3,37.86,138,233,10,7,6,10,2576
9.95,1,29,0.5,0.5,4.2,5.76,0.3,40.26,138,90,11,29,3,1,2910
4.2,1,26,1,0.5,6.95,0,0.3,34.75,170,143,10,17,2,16,1668
8.24,1,24,0,0.5,6.11,5.76,0.3,38.62,140,138,10,14,6,8,3094
8.7,1,28.5,0.5,0.5,7.45,0,0.3,37.25,263,65,4,7,5,1,2530
8.11,2,23.5,0,0.5,0,5.76,0.3,30.06,138,75,3,10,5,18,1449
7.93,1,23.5,0.5,0.5,2.5,0,0.3,27.3,80,223,11,18,6,3,2000
8.12,1,23.5,0.5,0.5,6.11,5.76,0.3,36.67,138,263,10,13,5,0,67
6.58,1,22,1,0.5,4.76,0,0.3,28.56,164,61,3,7,2,19,3520
5.57,1,23.5,0,0.5,4.86,0,0.3,29.16,87,164,3,8,3,9,1409
3.63,1,22,0,0.5,5.7,0,0.3,28.5,186,140,8,8,2,11,1071
8.3,1,24.5,0.5,0.5,5.16,0,0.3,30.96,93,146,9,1,5,23,1143
11.64,1,33.5,0,0.5,4,5.76,0.3,44.06,263,228,6,27,2,7,2599
7.91,1,27.5,0,0.5,5.66,0,0.3,33.96,170,244,2,26,0,9,1946
4.7,1,23,0.5,0.5,4.86,0,0.3,29.16,90,238,12,8,5,21,1301
11.01,2,31.5,0.5,0.5,0,0,0.3,32.8,164,182,9,28,4,0,1881
2.62,1,29.5,0,0.5,6.06,0,0.3,36.36,164,141,3,27,1,9,1341
5.15,1,23.5,0,0.5,0.1,0,0.3,24.4,90,87,2,16,4,9,2880
20.59,1,60,1,0.5,0,5.76,0.3,67.56,219,81,5,7,0,20,1636
8.81,1,36,0,0.5,8.51,5.76,0.3,51.07,138,164,6,25,0,8,1685
9.54,2,36.5,0.5,0.5,0,0,0.3,37.8,186,129,2,9,4,4,1952
15.2,1,45.5,0,0.5,13,5.76,0.3,65.06,161,226,3,8,3,13,1327
0.3,1,3,0,0.5,0.95,0,0.3,4.75,114,79,1,28,6,11,1172
14.6,2,41,0.5,0.5,0,0,0.3,42.3,229,51,2,9,4,4,3264
11.4,1,42,1,0.5,9.91,5.76,0.3,59.47,138,48,3,8,3,17,1388
16.59,1,76.5,1,0,23.7,17,0.3,118.5,48,1,3,6,1,16,2829
5.9,1,21.5,0.5,0.5,4.55,0,0.3,27.35,264,264,3,4,6,20,3211
15.6,1,44,0.5,0.5,9.05,0,0.3,54.35,142,219,6,25,0,20,1906
5.3,1,22.5,0,0.5,4,0,0.3,27.3,100,87,9,26,2,15,1838
10.12,1,32.5,0,0.5,7.81,5.76,0.3,46.87,138,237,6,6,2,14,1534
7.28,1,26,0,0.5,6.7,0,0.3,33.5,229,138,10,4,3,7,1944
8.32,1,27.5,0.5,0.5,5.76,0,0.3,34.56,79,41,4,26,3,20,1797
8.95,2,28.5,0.5,0.5,0,0,0.3,29.8,229,138,6,28,3,5,4075.000000000001
8.9,1,25.5,0.5,0.5,8.1,5.76,0.3,40.66,138,141,8,21,1,20,2811
8.91,2,25.5,0.5,0.5,0,0,0.3,26.8,132,135,12,24,0,0,1276
10.23,2,34,1,0.5,0,5.76,0.3,41.56,138,163,1,19,4,17,2745
15.67,1,44,0.5,0.5,9.06,0,0.3,54.36,88,95,4,6,4,0,1914
5.8,1,32,1,0.5,5.04,5.76,0.3,44.6,100,7,9,25,1,18,2279
10.23,1,33,1,0.5,8.11,5.76,0.3,48.67,138,161,2,14,2,17,1537
9.9,1,35.5,0,0.5,8.4,5.76,0.3,50.46,48,138,6,4,0,9,2518
2.3,1,24.5,1,0.5,5.25,0,0.3,31.55,237,186,10,11,3,16,2015
8.4,1,44.5,0,0.5,9.05,0,0.3,54.35,161,75,10,4,3,14,1389
10.5,2,31.5,0.5,0.5,0,0,0.3,32.8,100,70,2,11,6,5,46
9.11,2,31,0.5,0.5,0,0,0.3,32.3,114,168,8,10,4,20,1610
6.5,1,23,0.5,0.5,4.86,0,0.3,29.16,186,41,11,5,0,20,2042
7.4,1,27,0.5,0.5,4,0,0.3,32.3,246,25,3,15,3,20,2055
3.6,1,22.5,0,0.5,4.66,0,0.3,27.96,68,140,1,9,1,11,2179
8.62,1,29,0,0.5,7.45,0,0.3,39.2,4,87,3,5,0,9,900
9.73,1,32,0.5,0.5,7.81,5.76,0.3,46.87,138,163,10,5,4,20,1106
6.86,1,24,0.5,0.5,20,0,0.3,45.3,231,238,9,13,3,23,1563
9.8,1,35,0,0.5,8.31,5.76,0.3,49.87,90,138,6,27,2,12,2103
9,1,33.5,0,0.5,8,5.76,0.3,48.06,170,138,11,6,1,11,2617
12.17,1,34,0.5,0.5,2.7,0,0.3,38,140,257,5,6,6,4,2713
11.43,2,36.5,0,0.5,0,5.76,0.3,43.06,138,107,8,24,4,11,2304
6.94,1,24,1,0.5,5.16,0,0.3,30.96,237,70,6,4,0,18,1344
26.2,1,69,0.5,0.5,17.55,0,0.3,87.85,132,257,11,7,2,23,3520
9.29,1,34.5,1,0.5,4.21,5.76,0.3,46.27,162,52,3,26,0,19,82
0.2,2,3,0,0.5,0,0,0.3,3.8,237,141,4,19,3,10,2609
10,1,30.5,0.5,0.5,7.51,5.76,0.3,45.07,238,138,8,17,4,5,1731
7.8,1,28.5,1,0.5,6.06,0,0.3,36.36,138,80,11,27,1,17,2103
9.1,1,34,0.5,0.5,4,5.76,0.3,45.06,234,95,11,27,1,21,1343
4.6,1,26,0,0.5,5.36,0,0.3,32.16,236,249,12,8,5,13,3453
18.01,1,80,0,0.5,18.66,12.5,0.3,111.96,231,132,3,8,3,6,1253
9.32,2,30,1,0.5,0,5.76,0.3,37.56,138,68,8,10,4,19,1393
5.8,1,25.5,0,0.5,3.95,0,0.3,30.25,45,263,11,18,6,16,1358
6.3,2,22,0,0.5,0,0,0.3,22.8,4,239,7,8,6,19,2005
11.3,1,50,0,0.5,11.31,5.76,0.3,67.87,138,233,9,25,1,7,1671
9.72,1,27,0.5,0.5,6.81,5.76,0.3,40.87,138,229,2,5,0,20,1986
3.59,1,21.5,0,0.5,4.46,0,0.3,26.76,164,43,9,26,2,8,1416
4.04,1,23.5,1,0.5,5.06,0,0.3,30.36,186,262,9,20,3,19,1391
12.5,1,41,0,0.5,10.45,0,0.3,52.25,74,138,3,25,6,15,1325
12.05,1,36,0.5,0.5,7.46,0,0.3,44.76,132,61,2,17,5,1,2437
13.71,1,46.5,0,0.5,10.61,5.76,0.3,63.67,138,158,5,1,1,12,1410
6.5,1,28.5,1,0.5,6.05,0,0.3,36.35,48,80,3,6,1,18,1631
3.5,1,22.5,0.5,0.5,4.75,0,0.3,28.55,162,236,9,24,0,21,1788
11.01,1,32,0.5,0.5,7.81,5.76,0.3,46.87,138,230,2,6,1,20,1752
15.53,1,44.5,0,0.5,11.32,0,0.3,56.62,132,145,3,8,3,13,1734
8.86,1,25.5,0.5,0.5,6.7,0,0.3,33.5,137,228,3,7,2,1,1452
18.2,2,68.5,0,0,0,21,0.3,89.8,162,1,6,17,6,9,1339
12.3,1,37.5,1,0.5,4.72,0,0.3,45.97,231,127,6,15,4,19,2109
10.9,1,45,1,0.5,14,0,0.3,60.8,132,265,1,4,3,17,1668
11.5,1,32.5,1,0.5,6.85,0,0.3,41.15,132,138,4,16,0,18,2199
18.24,1,53,0,0.5,4,0,0.3,57.8,138,165,3,25,6,14,1966
9.25,1,39,0,0.5,9.11,5.76,0.3,54.67,138,48,9,26,2,10,2245
3.82,1,22.5,0,0.5,5.83,0,0.3,29.13,236,68,12,20,3,9,1360
11.9,2,34,0,0.5,0,0,0.3,34.8,132,138,3,30,4,13,1888
14.7,1,41.5,0,0.5,9.6,5.76,0.3,57.66,138,13,11,6,1,9,1508
6.36,1,21.5,0.5,0.5,5.7,0,0.3,28.5,161,261,5,21,0,20,1686
5,1,22,0,0.5,4.56,0,0.3,27.36,87,68,2,8,3,9,1161
9.8,1,30.5,0,0.5,7.4,5.76,0.3,44.46,264,264,3,27,1,13,84712
12.19,1,40.5,0,0.5,9.41,5.76,0.3,56.47,138,230,4,5,3,7,1292
8.75,1,28.5,0,0.5,7.77,0,0.3,37.07,233,195,5,6,6,10,1209
5.69,2,23.5,0,0.5,0,0,0.3,24.3,88,68,6,10,6,14,1651
10.14,1,39.5,0.5,0.5,8.16,0,0.3,48.96,114,37,3,3,5,2,1444
12.29,1,34,0.5,0.5,7.06,0,0.3,42.36,132,132,8,21,1,21,1602
8.86,1,29.5,1,0.5,6.5,0,0.3,37.8,236,66,1,8,0,19,1754
0.29,2,3,0,0.5,0,0,0.3,3.8,231,231,11,19,0,9,1882
9.67,1,33,0,0.5,4,5.76,0.3,43.56,238,138,6,24,6,14,1831
22.39,1,61,0,0.5,12.36,0,0.3,74.16,132,181,11,18,6,6,56
10.72,1,31,0.5,0.5,6.46,0,0.3,38.76,132,70,11,16,4,23,2555
18.35,1,54.5,0,0.5,5.7,0,0.3,61,33,132,11,6,1,6,1137
8.9,1,29.5,0,0.5,7.55,0,0.3,37.85,249,116,7,4,2,14,1727
7.5,1,23.5,0,0.5,6,5.76,0.3,36.06,138,263,3,4,6,16,1821
2.65,1,22,0,0.5,6.84,0,0.3,29.64,231,170,9,14,4,10,1787
7.73,1,29.5,1,0.5,7.41,5.76,0.3,44.47,234,223,5,22,1,16,2580
16.56,1,51.5,0,0.5,10.46,0,0.3,62.76,132,80,6,16,5,16,1629
10.79,2,35,1,0.5,0,5.76,0.3,42.56,138,163,7,11,2,18,2754
7.29,1,23.5,0,0.5,4.86,0,0.3,29.16,262,87,3,6,1,9,3531
0.18,1,2.5,0.5,0.5,0.7,0,0.3,4.5,263,263,3,7,2,20,2015
18.4,1,53,1,0.5,10.95,0,0.3,65.75,132,89,3,2,4,19,1034
19.3,1,53.5,0,0.5,5.7,0,0.3,60,138,155,3,4,6,16,1740
20.11,1,53,0.5,0.5,7,0,0.3,61.3,132,33,2,6,1,21,1453
10.7,1,31.5,0.5,0.5,6.56,0,0.3,39.36,138,181,4,6,4,22,80
29.78,1,79,0,0.5,17.66,8.5,0.3,105.96,264,264,3,7,2,7,2489
6.53,2,23,1,0.5,0,0,0.3,24.8,233,13,9,4,1,18,974
15.61,1,45.5,0,0.5,3.7,0,0.3,50,132,145,2,24,5,10,1944
13.97,1,39,0.5,0.5,4.03,0,0.3,44.33,132,223,4,25,2,23,2044
5.33,1,22.5,0,0.5,5.82,0,0.3,29.12,229,87,11,6,1,14,2069
5.5,1,21.5,0.5,0.5,4,0,0.3,26.8,158,181,3,16,4,23,2211
9.38,1,40,0,0.5,20,5.76,0.3,66.56,68,138,9,13,3,15,2618
6.3,2,22,0.5,0.5,0,0,0.3,23.3,100,41,3,9,4,21,2173
6.9,1,25,0,0.5,3.87,0,0.3,29.67,42,246,5,4,4,14,1702
7.13,1,23.5,0,0.5,4.86,0,0.3,31.11,237,87,3,27,1,7,1267
10.7,1,32,0.5,0.5,6.65,0,0.3,39.95,138,61,3,25,6,22,2323
6.7,1,26.5,0,0.5,5.45,0,0.3,32.75,249,236,8,20,0,11,3273
10.33,1,30.5,0,0.5,7.41,5.76,0.3,44.47,138,237,3,17,5,10,1096
9.07,1,30,1,0.5,0,5.76,0.3,37.56,209,226,8,10,4,18,1987
10.99,1,34,0.5,0.5,7.06,0,0.3,42.36,144,244,9,23,6,1,3590
0.1,2,3,0,0.5,0,0,0.3,3.8,162,162,11,19,0,8,1627
17.2,1,51,1,0.5,15.8,0,0.3,68.6,132,21,3,26,0,17,2134
9.2,2,29,0.5,0.5,0,0,0.3,30.3,138,17,2,12,0,21,2093
5.32,1,28,0,0.5,5.76,0,0.3,34.56,151,68,10,15,0,8,4197
6.4,1,23.5,0,0.5,4.85,0,0.3,29.15,233,52,10,12,4,14,2077
8.75,1,27.5,0,0.5,6.81,5.76,0.3,40.87,138,236,3,18,6,13,2289
5.2,1,25,0,0.5,2.5,0,0.3,28.3,114,239,11,30,4,12,1340
20.19,1,73.5,0.5,0,23.32,19,0.3,116.62,164,1,5,13,6,21,1047
5.55,1,23.5,0,0.5,0,0,0.3,24.3,91,37,11,19,0,7,3354
9.47,1,28.5,0.5,0.5,5.96,0,0.3,35.76,114,244,3,17,5,2,3104
13.42,1,42,0.5,0.5,0,0,0.3,43.3,236,61,7,11,2,22,2735
4.9,1,27.5,0,0.5,5.65,0,0.3,33.95,87,186,3,29,3,14,1462
8.03,1,27,0.5,0.5,0.8,0,0.3,29.1,90,116,1,19,4,2,1556
7.6,1,22.5,0,0.5,4,5.76,0.3,33.06,138,262,3,17,5,9,2763
4.6,1,24,1,0.5,5.15,0,0.3,30.95,234,43,6,4,0,17,1538
8.9,1,29.5,0,0.5,9,5.76,0.3,45.06,162,138,9,14,4,13,3232
4.1,1,25,0,0.5,5.15,0,0.3,30.95,90,263,1,18,3,14,842
6.4,1,27.5,0,0.5,4,0,0.3,32.3,48,209,10,14,6,17,1632
6.3,2,24,1,0.5,0,0,0.3,25.8,234,166,12,11,1,17,2876
9.2,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26,138,141,11,6,1,21,1522
11.9,1,45.5,0,0.5,10.4,5.76,0.3,62.46,138,100,11,8,3,7,1312
16.29,1,51,0,0.5,11.51,5.76,0.3,69.07,138,13,3,28,2,15,1650
7.27,1,25.5,0.5,0.5,4.2,0,0.3,31,233,97,8,9,3,21,1531
15,1,41.5,0.5,0.5,12.1,5.76,0.3,60.66,100,15,3,18,6,3,1801
13.57,1,45,1,0.5,9.36,0,0.3,56.16,132,181,8,9,3,19,2747
5.83,2,23,0,0.5,0,0,0.3,23.8,141,79,3,18,6,10,2687
4.44,1,23,0,0.5,3.8,0,0.3,27.6,148,100,6,24,6,16,3787.000000000001
7.34,1,27.5,0.5,0.5,5.76,0,0.3,34.56,209,71,6,5,1,21,1340
18.5,1,52.5,0,0.5,10.66,0,0.3,63.96,132,33,7,29,6,17,2311
15.7,4,46.5,0,0.5,0,0,0.3,47.3,90,215,2,11,6,11,2534
10.46,1,31,0,0.5,10,5.76,0.3,47.56,138,143,3,25,6,19,2513
4.21,2,22.5,0.5,0.5,0,0,0.3,23.8,100,79,12,14,4,23,1215
9.58,1,33,1,0.5,6.96,0,0.3,41.76,161,138,10,11,3,18,1078
6.33,1,23.5,0.5,0.5,7.44,0,0.3,32.24,113,238,11,29,3,21,2297
5.1,1,22.5,0.5,0.5,4,0,0.3,27.8,230,7,2,17,5,0,1638
13.51,1,47,0,0.5,10.71,5.76,0.3,64.27,186,138,5,2,2,15,2300
10.2,1,31,1,0.5,6.55,0,0.3,39.35,246,127,4,5,3,18,38
7.4,1,24,0,0.5,4.95,0,0.3,29.75,236,243,6,26,1,12,1787
8.8,1,27,0.5,0.5,5.65,0,0.3,33.95,144,129,8,21,1,22,1315
8.44,1,33,1,0.5,6.96,0,0.3,41.76,161,243,10,2,1,18,1420
4.6,1,23.5,0.5,0.5,4.95,0,0.3,29.75,236,148,10,27,5,21,2306
6.5,2,24.5,0,0.5,0,0,0.3,25.3,75,68,9,5,2,7,34
7.3,1,23,0.5,0.5,4.85,0,0.3,29.15,231,133,1,16,1,22,2589
11.48,1,36,0,0.5,8.51,5.76,0.3,51.07,138,163,4,7,5,10,3899.000000000001
10.61,1,32.5,0,0.5,6.66,0,0.3,39.96,132,92,8,9,3,7,1943
6.8,1,25,0,0.5,5.15,0,0.3,30.95,161,13,8,21,1,11,2002
12.4,1,45,0,0.5,10.3,5.76,0.3,61.86,138,162,11,6,1,9,1546
3.8,1,24.5,0,0.5,4.9,0,0.3,30.2,238,164,7,17,1,9,2012
8.37,1,24.5,1,0.5,6,5.76,0.3,38.06,138,162,11,30,4,19,1834
8.04,1,29.5,0.5,0.5,9.24,0,0.3,40.04,230,87,2,14,2,22,2897
7.84,1,31.5,1,0.5,6.66,0,0.3,39.96,237,13,10,16,1,16,3051
7.7,1,32,0,0.5,6.56,0,0.3,39.36,211,41,10,27,5,14,2294
5.9,1,21.5,0.5,0.5,5.7,0,0.3,28.5,230,25,3,6,1,0,1281
21.55,1,76.5,0.5,0,24.2,15,0.3,116.5,87,1,4,7,5,5,1259
9.77,1,36,1,0.5,8.71,5.76,0.3,52.27,68,138,6,5,1,17,2909
8.7,1,26,1,0.5,6.7,5.76,0.3,40.26,138,140,3,27,1,17,2569
13.5,1,49,0.5,0.5,11.2,5.76,0.3,67.26,161,14,3,6,1,21,2197
10.49,1,34.5,1,0.5,8.41,5.76,0.3,50.47,170,138,3,28,2,16,3077
5.1,1,32.5,0,0.5,6.65,0,0.3,39.95,114,236,4,3,1,13,2194
11.95,2,38.5,1,0.5,0,0,0.3,40.3,138,132,5,7,0,16,1303
6.27,2,24,0,0.5,0,0,0.3,24.8,263,144,12,12,2,9,118
10.6,1,30,0.5,0.5,6.25,0,0.3,37.55,138,33,2,5,0,22,1790
9.1,1,32.5,0,0.5,7.8,5.76,0.3,46.86,138,68,10,17,2,10,2698
3.1,1,32.5,0,0.5,6.66,0,0.3,39.96,170,140,11,29,3,12,2214
3.83,1,23,0,0.5,4.76,0,0.3,28.56,246,237,3,6,1,12,2283
7.7,1,28.5,0.5,0.5,8.9,0,0.3,38.7,13,112,3,6,1,22,1655
9.2,1,30,0,0.5,10.95,5.76,0.3,47.51,238,138,4,5,3,7,1621
11.3,1,39,0.5,0.5,10.7,2.64,0.3,53.64,246,220,5,14,0,23,1377
9.49,1,36,0,0.5,9.2,0,0.3,46,25,143,3,27,1,9,1517
12.6,1,44.5,1,0.5,4,5.76,0.3,56.06,138,79,10,11,3,18,1434
10.6,1,32,0,0.5,6,5.76,0.3,44.56,162,138,5,4,4,13,1539
11.37,1,31,0,0.5,6.36,0,0.3,38.16,132,83,3,25,6,9,1875
17.2,1,48,1,0.5,9.95,0,0.3,59.75,264,264,4,3,1,20,2509
6.5,1,30,1,0.5,4,0,0.3,35.8,231,236,12,20,3,16,1915
0.39,1,3,0.5,0.5,0.86,0,0.3,5.16,107,170,9,3,0,2,3500
9.06,1,39,0,0.5,9.11,5.76,0.3,54.67,138,164,10,5,4,9,1759
15.1,1,44,0.5,0.5,10.21,5.76,0.3,61.27,234,11,4,3,1,20,2338
12.5,1,36,1,0.5,8.7,5.76,0.3,52.26,138,233,6,4,0,19,2903
4.74,1,21.5,0.5,0.5,4.56,0,0.3,27.36,90,256,11,28,2,22,1550
9.69,1,31.5,0,0.5,9.52,5.76,0.3,47.58,162,138,6,6,2,15,2455
